         320
     1     n     n     1
     1     p     p     0
     2     d     d     1
     3    he   he3     1
     4    he   he4     2
     7    li   li7     4
     7    be   be7     3
     8     b    b8     3
    12     c   c12     6
    13     c   c13     7
    14     c   c14     8
    13     n   n13     6
    14     n   n14     7
    15     n   n15     8
    14     o   o14     6
    15     o   o15     7
    16     o   o16     8
    17     o   o17     9
    18     o   o18    10
    19     o   o19    11
    17     f   f17     8
    18     f   f18     9
    19     f   f19    10
    20     f   f20    11
    19    ne  ne19     9
    20    ne  ne20    10
    21    ne  ne21    11
    22    ne  ne22    12
    23    ne  ne23    13
    21    na  na21    10
    22    na  na22    11
    23    na  na23    12
    24    na  na24    13
    23    mg  mg23    11
    24    mg  mg24    12
    25    mg  mg25    13
    26    mg  mg26    14
    27    mg  mg27    15
    25    al  al25    12
    26   al-  al-6    13
    26   al*  al*6    13
    27    al  al27    14
    28    al  al28    15
    27    si  si27    13
    28    si  si28    14
    29    si  si29    15
    30    si  si30    16
    31     p   p31    16
    32     p   p32    17
    33     p   p33    18
    32     s   s32    16
    33     s   s33    17
    34     s   s34    18
    35     s   s35    19
    36     s   s36    20
    35    cl  cl35    18
    36    cl  cl36    19
    37    cl  cl37    20
    36    ar  ar36    18
    37    ar  ar37    19
    38    ar  ar38    20
    39    ar  ar39    21
    40    ar  ar40    22
    39     k   k39    20
    40     k   k40    21
    41     k   k41    22
    40    ca  ca40    20
    41    ca  ca41    21
    42    ca  ca42    22
    43    ca  ca43    23
    44    ca  ca44    24
    45    ca  ca45    25
    46    ca  ca46    26
    47    ca  ca47    27
    48    ca  ca48    28
    45    sc  sc45    24
    46    sc  sc46    25
    47    sc  sc47    26
    48    sc  sc48    27
    46    ti  ti46    24
    47    ti  ti47    25
    48    ti  ti48    26
    49    ti  ti49    27
    50    ti  ti50    28
    51     v   v51    28
    52    cr  cr52    28
    53    cr  cr53    29
    54    cr  cr54    30
    55    mn  mn55    30
    54    fe  fe54    28
    55    fe  fe55    29
    56    fe  fe56    30
    57    fe  fe57    31
    58    fe  fe58    32
    59    fe  fe59    33
    60    fe  fe60    34
    59    co  co59    32
    60    co  co60    33
    58    ni  ni58    30
    59    ni  ni59    31
    60    ni  ni60    32
    61    ni  ni61    33
    62    ni  ni62    34
    63    ni  ni63    35
    64    ni  ni64    36
    63    cu  cu63    34
    64    cu  cu64    35
    65    cu  cu65    36
    64    zn  zn64    34
    65    zn  zn65    35
    66    zn  zn66    36
    67    zn  zn67    37
    68    zn  zn68    38
    69    zn  zn69    39
    70    zn  zn70    40
    69    ga  ga69    38
    70    ga  ga70    39
    71    ga  ga71    40
    70    ge  ge70    38
    71    ge  ge71    39
    72    ge  ge72    40
    73    ge  ge73    41
    74    ge  ge74    42
    75    as  as75    42
    76    se  se76    42
    77    se  se77    43
    78    se  se78    44
    79    se  se79    45
    80    se  se80    46
    79    br  br79    44
    80    br  br80    45
    81    br  br81    46
    80    kr  kr80    44
    81    kr  kr81    45
    82    kr  kr82    46
    83    kr  kr83    47
    84    kr  kr84    48
    85   kr-  kr-5    49
    85   kr*  kr*5    49
    86    kr  kr86    50
    85    rb  rb85    48
    86    rb  rb86    49
    87    rb  rb87    50
    86    sr  sr86    48
    87    sr  sr87    49
    88    sr  sr88    50
    89    sr  sr89    51
    90    sr  sr90    52
    89     y   y89    50
    90     y   y90    51
    91     y   y91    52
    90    zr  zr90    50
    91    zr  zr91    51
    92    zr  zr92    52
    93    zr  zr93    53
    94    zr  zr94    54
    95    zr  zr95    55
    96    zr  zr96    56
    93    nb  nb93    52
    94    nb  nb94    53
    95    nb  nb95    54
    94    mo  mo94    52
    95    mo  mo95    53
    96    mo  mo96    54
    97    mo  mo97    55
    98    mo  mo98    56
    99    tc  tc99    56
    99    ru  ru99    55
   100    ru ru100    56
   101    ru ru101    57
   102    ru ru102    58
   103    rh rh103    58
   104    pd pd104    58
   105    pd pd105    59
   106    pd pd106    60
   107    pd pd107    61
   108    pd pd108    62
   107    ag ag107    60
   108    ag ag108    61
   109    ag ag109    62
   108    cd cd108    60
   109    cd cd109    61
   110    cd cd110    62
   111    cd cd111    63
   112    cd cd112    64
   113    cd cd113    65
   114    cd cd114    66
   115    in in115    66
   116    sn sn116    66
   117    sn sn117    67
   118    sn sn118    68
   119    sn sn119    69
   120    sn sn120    70
   121    sb sb121    70
   122    te te122    70
   123    te te123    71
   124    te te124    72
   125    te te125    73
   126    te te126    74
   127     i  i127    74
   128    xe xe128    74
   129    xe xe129    75
   130    xe xe130    76
   131    xe xe131    77
   132    xe xe132    78
   133    xe xe133    79
   134    xe xe134    80
   133    cs cs133    78
   134    cs cs134    79
   135    cs cs135    80
   136    cs cs136    81
   137    cs cs137    82
   134    ba ba134    78
   135    ba ba135    79
   136    ba ba136    80
   137    ba ba137    81
   138    ba ba138    82
   139    la la139    82
   140    ce ce140    82
   141    ce ce141    83
   142    ce ce142    84
   141    pr pr141    82
   142    nd nd142    82
   143    nd nd143    83
   144    nd nd144    84
   145    nd nd145    85
   146    nd nd146    86
   147    nd nd147    87
   148    nd nd148    88
   147    pm pm147    86
   148    pm pm148    87
   147    sm sm147    85
   148    sm sm148    86
   149    sm sm149    87
   150    sm sm150    88
   151    sm sm151    89
   152    sm sm152    90
   151    eu eu151    88
   152    eu eu152    89
   153    eu eu153    90
   154    eu eu154    91
   155    eu eu155    92
   152    gd gd152    88
   153    gd gd153    89
   154    gd gd154    90
   155    gd gd155    91
   156    gd gd156    92
   157    gd gd157    93
   158    gd gd158    94
   159    tb tb159    94
   160    dy dy160    94
   161    dy dy161    95
   162    dy dy162    96
   163    dy dy163    97
   164    dy dy164    98
   165    ho ho165    98
   166    er er166    98
   167    er er167    99
   168    er er168   100
   169    er er169   101
   170    er er170   102
   169    tm tm169   100
   170    tm tm170   101
   171    tm tm171   102
   170    yb yb170   100
   171    yb yb171   101
   172    yb yb172   102
